MÊS,PREÇO MÉDIO REVENDA
2017-01-04,3.7704852163755493
2017-01-05,3.7516639528560987
2017-01-06,3.696870119417902
2017-01-07,3.689708073894325
2017-01-08,3.9116719329201306
2017-01-09,3.9861601989564543
2017-01-10,4.009496918690653
2017-01-11,4.10650498606386
2017-01-12,4.185216188716033
2018-01-01,4.279056310139523
2018-01-02,4.297302909419645
2018-01-03,4.291756807489402
2018-01-04,4.316975916315619
2018-01-05,4.4081842254981005
2018-01-06,4.636253646496122
2018-01-07,4.592403014763466
2018-01-08,4.561696203569116
2018-01-09,4.716642132902813
2018-01-10,4.815592781124059
2018-01-11,4.698012441096302
2018-01-12,4.483111565689278
2019-01-01,4.3860868337563295
2019-01-02,4.305501321663486
2019-01-03,4.390880488257953
2019-01-04,4.517493283660713
2019-01-05,4.657693271302582
2019-01-06,4.589411210028493
2019-01-07,4.476087388093024
2019-01-08,4.4281092063648275
2019-01-09,4.43305876859817
2019-01-10,4.482947625708178
2019-01-11,4.508948833496015
2019-01-12,4.61433767295688
2020-01-01,4.663155797388092
2020-01-02,4.64521295448512
2020-01-03,4.571332851855174
2020-01-04,4.186405744122464
2020-01-05,3.9117034926480465
2020-01-06,4.036296056395784
2020-01-07,4.225278134424324
2020-01-08,4.3315194673313835
2020-01-10,4.400403835978836
2020-01-11,4.453302258592926
2020-01-12,4.519670637822321
2021-01-01,4.694544093410889
2021-01-02,5.031486375371741
2021-01-03,5.554607078919578
2021-01-04,5.528229077294103
2021-01-05,5.665214563327012
2021-01-06,5.772385366483512
2021-01-07,5.9096253142015565
2021-01-08,6.035373988467863
2021-01-09,6.17390309445755
2021-01-10,6.422571168913649
2021-01-11,6.8319071242437905
2021-01-12,6.760841658499246
2022-01-01,6.736561311622467
2022-01-02,6.709886782877433
2022-01-03,7.10888376075057
2022-01-04,7.3350322746460455
2022-01-05,7.379760538838359
2022-01-06,7.365138215741698
2022-01-07,6.1565602072957155
2022-01-08,5.5101569120101805
2022-01-09,5.153196677759781
2022-01-10,4.918639997082429
2022-01-11,5.086860603992957
2022-01-12,5.036999549625944
2023-01-01,5.1096171907947925
2023-01-02,5.157839750764794
2023-01-03,5.581298772846924
2023-01-04,5.594187371651482
2023-01-05,5.477908611011536
2023-01-06,5.475998891382569
2023-01-07,5.694988356135828
2023-01-08,5.82773147640125
2023-01-09,5.954454658999403
2023-01-10,5.875073866800865
2023-01-11,5.784059567083283
2023-01-12,5.73022406926854
2024-01-01,5.7066987039671995
2024-01-02,5.8643219274198515
2024-01-03,5.943